date,geography,geography code,Schoolchild or full-time student indicator: Not a student,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Total
2021,Brent 002C,E01000516,1680,494,2174
2021,Brent 003B,E01000517,1233,322,1555
2021,Brent 005A,E01000518,1429,395,1824
2021,Brent 005B,E01000519,1416,469,1885
2021,Brent 002D,E01000520,1213,376,1589
2021,Brent 025B,E01000521,1585,542,2127
2021,Brent 025C,E01000522,1377,534,1911
2021,Brent 031A,E01000523,1563,594,2157
2021,Brent 031B,E01000524,1681,589,2270
2021,Brent 031C,E01000525,1318,420,1738
2021,Brent 025D,E01000526,1522,554,2076
2021,Brent 025E,E01000527,1302,471,1773
2021,Brent 025F,E01000528,1240,369,1609
2021,Brent 033A,E01000530,1362,355,1717
2021,Brent 033B,E01000531,1379,322,1701
2021,Brent 033C,E01000532,1159,241,1400
2021,Brent 031E,E01000533,1575,473,2048
2021,Brent 033D,E01000534,1297,344,1641
2021,Brent 031F,E01000535,1541,391,1932
2021,Brent 004A,E01000536,1203,290,1493
2021,Brent 004B,E01000538,1175,331,1506
2021,Brent 004C,E01000539,1199,293,1492
2021,Brent 004D,E01000540,1163,220,1383
2021,Brent 004E,E01000541,1062,254,1316
2021,Brent 003E,E01000543,1231,317,1548
2021,Brent 034A,E01000544,1264,414,1678
2021,Brent 028A,E01000545,1508,308,1816
2021,Brent 028B,E01000546,1294,270,1564
2021,Brent 028C,E01000547,1213,345,1558
2021,Brent 028D,E01000548,1570,324,1894
2021,Brent 028E,E01000549,1437,272,1709
2021,Brent 034B,E01000550,1516,409,1925
2021,Brent 034C,E01000551,2045,697,2742
2021,Brent 034D,E01000552,1006,408,1414
2021,Brent 015A,E01000553,1555,372,1927
2021,Brent 015B,E01000554,1433,409,1842
2021,Brent 015C,E01000555,1166,349,1515
2021,Brent 015D,E01000556,1657,308,1965
2021,Brent 015E,E01000557,1423,355,1778
2021,Brent 015F,E01000558,1076,256,1332
2021,Brent 018E,E01000559,1126,200,1326
2021,Brent 023D,E01000560,1226,265,1491
2021,Brent 023E,E01000561,1418,419,1837
2021,Brent 008A,E01000562,1182,276,1458
2021,Brent 008B,E01000563,1232,292,1524
2021,Brent 013A,E01000564,1127,389,1516
2021,Brent 013B,E01000565,1086,378,1464
2021,Brent 008C,E01000566,1164,313,1477
2021,Brent 016A,E01000567,1017,296,1313
2021,Brent 008D,E01000568,1482,623,2105
2021,Brent 008E,E01000569,1151,248,1399
2021,Brent 012A,E01000570,1222,265,1487
2021,Brent 012B,E01000571,1393,304,1697
2021,Brent 007A,E01000572,1093,306,1399
