date,geography,geography code,Residence type: Lives in a communal establishment,Residence type: Lives in a household,Residence type: Total: All usual residents
2021,Brent 029B,E01000473,0,2704,2704
2021,Brent 026B,E01000474,0,2272,2272
2021,Brent 029C,E01000475,0,2124,2124
2021,Brent 026C,E01000476,2,2194,2196
2021,Brent 026D,E01000477,0,2376,2376
2021,Brent 029D,E01000478,0,2528,2528
2021,Brent 009A,E01000479,44,1715,1759
2021,Brent 006A,E01000480,8,1680,1688
2021,Brent 009B,E01000481,0,1635,1635
2021,Brent 009D,E01000483,0,1852,1852
2021,Brent 006B,E01000484,0,1765,1765
2021,Brent 006C,E01000485,109,1495,1604
2021,Brent 006D,E01000486,0,1698,1698
2021,Brent 006E,E01000487,6,1981,1987
2021,Brent 022A,E01000488,0,1647,1647
2021,Brent 030A,E01000489,0,1728,1728
2021,Brent 023A,E01000490,0,1771,1771
2021,Brent 030B,E01000491,11,2055,2066
2021,Brent 030C,E01000492,2,1271,1273
2021,Brent 030D,E01000493,0,1597,1597
2021,Brent 023B,E01000494,67,1694,1761
2021,Brent 023C,E01000495,49,1542,1591
2021,Brent 011A,E01000497,155,1915,2070
2021,Brent 010B,E01000498,0,1683,1683
2021,Brent 011B,E01000499,0,1896,1896
2021,Brent 011C,E01000501,0,2031,2031
2021,Brent 011D,E01000502,7,1875,1882
2021,Brent 011E,E01000503,4,2089,2093
2021,Brent 018A,E01000504,5,1794,1799
2021,Brent 018B,E01000505,0,1677,1677
2021,Brent 014A,E01000506,0,1657,1657
2021,Brent 018C,E01000507,0,1617,1617
2021,Brent 025A,E01000508,0,2613,2613
2021,Brent 014B,E01000509,2,1436,1438
2021,Brent 014C,E01000510,0,1672,1672
2021,Brent 014D,E01000511,0,1770,1770
2021,Brent 018D,E01000512,0,1703,1703
2021,Brent 002A,E01000513,62,1616,1678
2021,Brent 002B,E01000514,0,1570,1570
2021,Brent 003A,E01000515,0,1875,1875
2021,Brent 002C,E01000516,5,2340,2345
2021,Brent 003B,E01000517,0,1623,1623
2021,Brent 005A,E01000518,0,1915,1915
2021,Brent 005B,E01000519,0,2013,2013
2021,Brent 002D,E01000520,0,1677,1677
2021,Brent 025B,E01000521,0,2275,2275
2021,Brent 025C,E01000522,0,2048,2048
2021,Brent 031A,E01000523,0,2297,2297
2021,Brent 031B,E01000524,11,2412,2423
2021,Brent 031C,E01000525,1,1850,1851
2021,Brent 025D,E01000526,40,2157,2197
2021,Brent 025E,E01000527,9,1866,1875
2021,Brent 025F,E01000528,0,1725,1725
2021,Brent 033A,E01000530,0,1819,1819
2021,Brent 033B,E01000531,0,1799,1799
2021,Brent 033C,E01000532,0,1509,1509
2021,Brent 031E,E01000533,0,2172,2172
2021,Brent 033D,E01000534,0,1748,1748
2021,Brent 031F,E01000535,0,2053,2053
2021,Brent 004A,E01000536,30,1532,1562
2021,Brent 004B,E01000538,0,1622,1622
2021,Brent 004C,E01000539,0,1581,1581
2021,Brent 004D,E01000540,11,1445,1456
2021,Brent 004E,E01000541,6,1405,1411
2021,Brent 003E,E01000543,0,1625,1625
2021,Brent 034A,E01000544,0,1768,1768
2021,Brent 028A,E01000545,0,1921,1921
2021,Brent 028B,E01000546,0,1640,1640
2021,Brent 028C,E01000547,0,1656,1656
2021,Brent 028D,E01000548,0,1984,1984
2021,Brent 028E,E01000549,0,1813,1813
2021,Brent 034B,E01000550,44,1977,2021
2021,Brent 034C,E01000551,2,2892,2894
2021,Brent 034D,E01000552,0,1512,1512
2021,Brent 015A,E01000553,0,2040,2040
2021,Brent 015B,E01000554,0,1970,1970
2021,Brent 015C,E01000555,0,1586,1586
2021,Brent 015D,E01000556,0,2089,2089
2021,Brent 015E,E01000557,12,1853,1865
2021,Brent 015F,E01000558,3,1386,1389
2021,Brent 018E,E01000559,6,1373,1379
2021,Brent 023D,E01000560,3,1558,1561
2021,Brent 023E,E01000561,0,1937,1937
2021,Brent 008A,E01000562,0,1507,1507
2021,Brent 008B,E01000563,0,1588,1588
2021,Brent 013A,E01000564,10,1614,1624
2021,Brent 013B,E01000565,9,1526,1535
2021,Brent 008C,E01000566,0,1550,1550
2021,Brent 016A,E01000567,6,1394,1400
2021,Brent 008D,E01000568,382,1836,2218
2021,Brent 008E,E01000569,0,1456,1456
2021,Brent 012A,E01000570,17,1529,1546
2021,Brent 012B,E01000571,29,1732,1761
2021,Brent 007A,E01000572,0,1495,1495
2021,Brent 007B,E01000573,5,1666,1671
2021,Brent 007C,E01000574,0,1655,1655
2021,Brent 007D,E01000575,0,2154,2154
