date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,Brent 018E,E01000559,1381,705,676
2021,Brent 023D,E01000560,1561,843,718
2021,Brent 023E,E01000561,1937,954,983
2021,Brent 008A,E01000562,1506,787,719
2021,Brent 008B,E01000563,1588,806,782
2021,Brent 013A,E01000564,1624,800,824
2021,Brent 013B,E01000565,1536,792,744
2021,Brent 008C,E01000566,1550,759,791
2021,Brent 016A,E01000567,1400,722,678
2021,Brent 008D,E01000568,2218,1220,998
2021,Brent 008E,E01000569,1456,731,725
2021,Brent 012A,E01000570,1546,758,788
2021,Brent 012B,E01000571,1761,876,885
2021,Brent 007A,E01000572,1495,757,738
2021,Brent 007B,E01000573,1671,823,848
2021,Brent 007C,E01000574,1655,757,898
2021,Brent 007D,E01000575,2154,984,1170
2021,Brent 012C,E01000576,1874,926,948
2021,Brent 007E,E01000577,2585,1349,1236
2021,Brent 012D,E01000578,2324,1158,1166
2021,Brent 032A,E01000579,1587,867,720
2021,Brent 032B,E01000580,2086,1107,979
2021,Brent 030E,E01000581,1513,814,699
2021,Brent 032C,E01000582,1851,1001,850
2021,Brent 032D,E01000583,2050,1131,919
2021,Brent 033E,E01000584,1560,810,750
2021,Brent 033F,E01000585,1504,814,690
2021,Brent 032E,E01000586,2380,1225,1155
2021,Brent 001A,E01000587,1625,779,846
2021,Brent 001B,E01000589,2549,1236,1313
2021,Brent 001C,E01000590,1936,1002,934
2021,Brent 003F,E01000591,2183,1027,1156
2021,Brent 001D,E01000592,1831,937,894
2021,Brent 001E,E01000593,2121,1071,1050
2021,Brent 001F,E01000594,1815,869,946
2021,Brent 027A,E01000595,1785,1012,773
2021,Brent 021A,E01000596,1848,961,887
